source,E_MeV,eta_rad,sin2theta12_reference,dm21_reference_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,0.05,0.15,0.308,7.42e-05,0.5476217132926241,0.5476029292584357,-1.878403418842378e-05
B8,0.1502673796791443,0.15,0.308,7.42e-05,0.5447685149399254,0.5448885486509529,0.00012003371102753402
B8,0.2505347593582888,0.15,0.308,7.42e-05,0.5418592077723718,0.5416626455047394,-0.00019656226763242746
B8,0.3508021390374331,0.15,0.308,7.42e-05,0.538894905397443,0.53870588387081,-0.0001890215266330264
B8,0.4510695187165775,0.15,0.308,7.42e-05,0.5358769259882084,0.5355840332278037,-0.0002928927604046727
B8,0.551336898395722,0.15,0.308,7.42e-05,0.5328067970184048,0.532021971235183,-0.0007848257832218097
B8,0.6516042780748663,0.15,0.308,7.42e-05,0.5296862584794492,0.5296527312634648,-3.352721598437469e-05
B8,0.7518716577540108,0.15,0.308,7.42e-05,0.5265172644139361,0.5264512220268827,-6.604238705343324e-05
B8,0.8521390374331551,0.15,0.308,7.42e-05,0.5233019826159806,0.5231950488153195,-0.00010693380066106872
B8,0.9524064171122996,0.15,0.308,7.42e-05,0.5200427923699201,0.5201057665113595,6.297414143940916e-05
B8,1.052673796791444,0.15,0.308,7.42e-05,0.5167422801252568,0.5170521539587698,0.0003098738335129969
B8,1.1529411764705884,0.15,0.308,7.42e-05,0.5134032330369681,0.5133842256637201,-1.900737324800339e-05
B8,1.2532085561497326,0.15,0.308,7.42e-05,0.5100286303359703,0.5096674256850198,-0.0003612046509505751
B8,1.353475935828877,0.15,0.308,7.42e-05,0.5066216325338088,0.505891082649315,-0.0007305498844937253
B8,1.4537433155080215,0.15,0.308,7.42e-05,0.5031855685075199,0.5030712900501219,-0.00011427845739808706
B8,1.5540106951871655,0.15,0.308,7.42e-05,0.49972392055396353,0.49918213976876147,-0.0005417807852020617
B8,1.6542780748663102,0.15,0.308,7.42e-05,0.4962403075464029,0.49569174980319197,-0.0005485577432109423
B8,1.7545454545454546,0.15,0.308,7.42e-05,0.49273846636822227,0.4921849765676053,-0.0005534898006169797
B8,1.8548128342245989,0.15,0.308,7.42e-05,0.48922223183814423,0.489207304618377,-1.4927219767202349e-05
B8,1.955080213903743,0.15,0.308,7.42e-05,0.48569551537642675,0.48526515230061995,-0.00043036307580679445
B8,2.0553475935828875,0.15,0.308,7.42e-05,0.48216228269132905,0.48200544333577294,-0.0001568393555561043
B8,2.155614973262032,0.15,0.308,7.42e-05,0.47862653078821216,0.4786251209882765,-1.409799935681022e-06
B8,2.2558823529411764,0.15,0.308,7.42e-05,0.47509226461931,0.47511027142248535,1.8006803175374397e-05
B8,2.3561497326203207,0.15,0.308,7.42e-05,0.4715634736997854,0.4716631017429277,9.96280431422858e-05
B8,2.456417112299465,0.15,0.308,7.42e-05,0.4680441090149719,0.4686238878664956,0.0005797788515237157
B8,2.5566844919786096,0.15,0.308,7.42e-05,0.46453806053471913,0.4644578022375656,-8.025829715352373e-05
B8,2.656951871657754,0.15,0.308,7.42e-05,0.46104913563401084,0.4619252419108255,0.0008761062768146699
B8,2.757219251336898,0.15,0.308,7.42e-05,0.4575810386951183,0.45873432167572853,0.0011532829806102374
B8,2.8574866310160427,0.15,0.308,7.42e-05,0.4541373521365544,0.45400191925164357,-0.0001354328849108022
B8,2.957754010695187,0.15,0.308,7.42e-05,0.45072151907911634,0.4518999798616245,0.0011784607825081617
B8,3.058021390374331,0.15,0.308,7.42e-05,0.44733682782074474,0.44810772680769706,0.0007708989869523175
B8,3.158288770053476,0.15,0.308,7.42e-05,0.4439863982510632,0.4457878334117229,0.0018014351606597256
B8,3.25855614973262,0.15,0.308,7.42e-05,0.44067317029477204,0.444346097788623,0.0036729274938509526
B8,3.3588235294117643,0.15,0.308,7.42e-05,0.43739989443184984,0.4374067655464254,6.871114575535131e-06
B8,3.459090909090909,0.15,0.308,7.42e-05,0.43416912430288995,0.43495462286762326,0.0007854985647333113
B8,3.5593582887700532,0.15,0.308,7.42e-05,0.4309832113710485,0.4300567810047308,-0.0009264303663176765
B8,3.6596256684491975,0.15,0.308,7.42e-05,0.4278443015786975,0.42839184894161364,0.0005475473629161232
B8,3.759893048128342,0.15,0.308,7.42e-05,0.4247543339077077,0.4239534011092463,-0.00080093279846144
B8,3.8601604278074864,0.15,0.308,7.42e-05,0.4217150407276965,0.42392696014228215,0.0022119194145856502
B8,3.9604278074866306,0.15,0.308,7.42e-05,0.4187279497967807,0.41844323980073966,-0.00028470999604102154
B8,4.060695187165775,0.15,0.308,7.42e-05,0.41579438776445404,0.4150807904631543,-0.0007135973012997177
B8,4.16096256684492,0.15,0.308,7.42e-05,0.41291548501593284,0.4210807215934799,0.008165236577547086
B8,4.261229946524064,0.15,0.308,7.42e-05,0.4100921816915153,0.4107752565152497,0.0006830748237344197
B8,4.361497326203208,0.15,0.308,7.42e-05,0.4073252347126863,0.41151742186823254,0.004192187155546256
B8,4.461764705882353,0.15,0.308,7.42e-05,0.4046152256484713,0.4068534573072567,0.0022382316587853945
B8,4.562032085561497,0.15,0.308,7.42e-05,0.4019625692604434,0.40867717670690046,0.006714607446457077
B8,4.6622994652406415,0.15,0.308,7.42e-05,0.3993675225721174,0.4005959136060904,0.001228391033973042
B8,4.762566844919786,0.15,0.308,7.42e-05,0.396830194317931,0.3965146257658662,-0.0003155685520647711
B8,4.86283422459893,0.15,0.308,7.42e-05,0.39435055463788743,0.405574253018814,0.011223698380926572
B8,4.963101604278075,0.15,0.308,7.42e-05,0.3919284448959193,0.38974674516393615,-0.0021816997319831777
B8,5.063368983957219,0.15,0.308,7.42e-05,0.3895635875125981,0.3902831666213115,0.0007195791087133974
B8,5.163636363636363,0.15,0.308,7.42e-05,0.3872555957156203,0.38761233538418205,0.0003567396685617563
B8,5.263903743315508,0.15,0.308,7.42e-05,0.38500398312425244,0.3878240565445792,0.002820073420326752
B8,5.3641711229946525,0.15,0.308,7.42e-05,0.3828081730963033,0.3804069754591748,-0.0024011976371284827
B8,5.464438502673796,0.15,0.308,7.42e-05,0.380667507778044,0.38266100898113514,0.0019935012030911636
B8,5.564705882352941,0.15,0.308,7.42e-05,0.37858125680864124,0.37988924370914373,0.0013079869005024891
B8,5.664973262032086,0.15,0.308,7.42e-05,0.37654862564098046,0.37519260826976747,-0.001356017371212992
B8,5.765240641711229,0.15,0.308,7.42e-05,0.3745687634501802,0.37769413076641767,0.0031253673162374707
B8,5.865508021390374,0.15,0.308,7.42e-05,0.37264077060959544,0.3802795908415146,0.007638820231919141
B8,5.965775401069519,0.15,0.308,7.42e-05,0.37076370572164447,0.37275961671945557,0.001995910997811101
B8,6.0660427807486625,0.15,0.308,7.42e-05,0.36893659219741176,0.3684053607281452,-0.0005312314692665354
B8,6.166310160427807,0.15,0.308,7.42e-05,0.36715842438469903,0.36633753935169616,-0.0008208850330028716
B8,6.266577540106952,0.15,0.308,7.42e-05,0.3654281732490752,0.3670566617909057,0.0016284885418304529
B8,6.366844919786096,0.15,0.308,7.42e-05,0.36374479161651996,0.3688467390188298,0.005101947402309848
B8,6.46711229946524,0.15,0.308,7.42e-05,0.3621072189896418,0.3621377689418375,3.0549952195702e-05
B8,6.567379679144385,0.15,0.308,7.42e-05,0.3605143859520932,0.36222479906807553,0.0017104131159823566
B8,6.667647058823529,0.15,0.308,7.42e-05,0.35896521817790833,0.38071597081967384,0.021750752641765514
B8,6.7679144385026735,0.15,0.308,7.42e-05,0.3574586400640387,0.3786904353822175,0.021231795318178814
B8,6.868181818181818,0.15,0.308,7.42e-05,0.35599357800545006,0.3503980781370624,-0.005595499868387643
B8,6.968449197860962,0.15,0.308,7.42e-05,0.3545689633328315,0.354634295962431,6.533262959951269e-05
B8,7.068716577540107,0.15,0.308,7.42e-05,0.35318373493331395,0.3522059816418509,-0.000977753291463046
B8,7.168983957219251,0.15,0.308,7.42e-05,0.3518368415746441,0.37188676514623964,0.020049923571595518
B8,7.269251336898395,0.15,0.308,7.42e-05,0.3505272439530804,0.36240049808420144,0.011873254131121058
B8,7.36951871657754,0.15,0.308,7.42e-05,0.34925391648486986,0.35423021654499204,0.004976300060122174
B8,7.469786096256684,0.15,0.308,7.42e-05,0.34801584886064113,0.35889822863557375,0.010882379774932616
B8,7.570053475935828,0.15,0.308,7.42e-05,0.34681204738136506,0.34154725774088923,-0.005264789640475831
B8,7.670320855614973,0.15,0.308,7.42e-05,0.3456415360937635,0.3433624722516446,-0.0022790638421189002
B8,7.770588235294118,0.15,0.308,7.42e-05,0.3445033577422266,0.36014458150748263,0.015641223765256007
B8,7.870855614973261,0.15,0.308,7.42e-05,0.34339657455340794,0.35382929463628765,0.01043272008287971
B8,7.971122994652406,0.15,0.308,7.42e-05,0.34232026886875794,0.35755936712686054,0.015239098258102601
B8,8.071390374331552,0.15,0.308,7.42e-05,0.3412735436393518,0.3526272605982079,0.01135371695885612
B8,8.171657754010695,0.15,0.308,7.42e-05,0.3402555227964245,0.3441756909136425,0.003920168117217959
B8,8.271925133689841,0.15,0.308,7.42e-05,0.33926535151014575,0.33141785876540164,-0.007847492744744111
B8,8.372192513368985,0.15,0.308,7.42e-05,0.33830219634827063,0.34056013836922655,0.0022579420209559165
B8,8.472459893048129,0.15,0.308,7.42e-05,0.33736524534544793,0.34683523684208867,0.00946999149664074
B8,8.572727272727274,0.15,0.308,7.42e-05,0.33645370799313756,0.34384250108808123,0.007388793094943669
B8,8.672994652406418,0.15,0.308,7.42e-05,0.33556681515931447,0.36782680704061216,0.03225999188129769
B8,8.773262032085562,0.15,0.308,7.42e-05,0.33470381894636847,0.3354151353218395,0.000711316375471005
B8,8.873529411764707,0.15,0.308,7.42e-05,0.3338639924949225,0.3630512991289507,0.029187306634028187
B8,8.973796791443851,0.15,0.308,7.42e-05,0.3330466297405971,0.3304226347015764,-0.002623995039020721
B8,9.074064171122997,0.15,0.308,7.42e-05,0.3322510451301508,0.33393830958229803,0.0016872644521472302
B8,9.17433155080214,0.15,0.308,7.42e-05,0.331476573302819,0.33119507919252095,-0.0002814941102980417
B8,9.274598930481284,0.15,0.308,7.42e-05,0.33072256874213507,0.3379052532748867,0.007182684532751615
B8,9.374866310160428,0.15,0.308,7.42e-05,0.329988405403017,0.32248154687904473,-0.00750685852397226
B8,9.475133689839572,0.15,0.308,7.42e-05,0.32927347631841714,0.36355783576943823,0.034284359451021096
B8,9.575401069518716,0.15,0.308,7.42e-05,0.32857719318942297,0.35882483269310467,0.0302476395036817
B8,9.67566844919786,0.15,0.308,7.42e-05,0.3278989859622673,0.33008388194045035,0.0021848959781830546
B8,9.775935828877008,0.15,0.308,7.42e-05,0.3272383023953664,0.3673233066068381,0.04008500421147171
B8,9.87620320855615,0.15,0.308,7.42e-05,0.3265946076191509,0.3386895798330921,0.012094972213941235
B8,9.976470588235294,0.15,0.308,7.42e-05,0.3259673836911497,0.3256445675923495,-0.0003228160988001938
B8,10.07673796791444,0.15,0.308,7.42e-05,0.32535612914850554,0.3407622854124849,0.015406156263979343
B8,10.177005347593584,0.15,0.308,7.42e-05,0.32476035855985164,0.3247683923564752,8.033796623563294e-06
B8,10.277272727272727,0.15,0.308,7.42e-05,0.3241796020782299,0.3247757831256297,0.0005961810473998352
B8,10.377540106951871,0.15,0.308,7.42e-05,0.3236134049965288,0.31693432661899096,-0.006679078377537839
B8,10.477807486631017,0.15,0.308,7.42e-05,0.32306132730673176,0.3300503786929124,0.006989051386180667
B8,10.57807486631016,0.15,0.308,7.42e-05,0.3225229432640843,0.36605838521735695,0.043535441953272636
B8,10.678342245989306,0.15,0.308,7.42e-05,0.3219978409571254,0.3415157477383324,0.019517906781206962
B8,10.77860962566845,0.15,0.308,7.42e-05,0.3214856218844134,0.32465999888133024,0.003174376996916861
B8,10.878877005347594,0.15,0.308,7.42e-05,0.32098590053861437,0.36888786389467415,0.047901963356059785
B8,10.97914438502674,0.15,0.308,7.42e-05,0.32049830399853696,0.3668249531483398,0.046326649149802834
B8,11.079411764705885,0.15,0.308,7.42e-05,0.32002247152958335,0.3198800367732625,-0.0001424347563208639
B8,11.179679144385029,0.15,0.308,7.42e-05,0.31955805419298433,0.32240993601728746,0.0028518818243031263
B8,11.279946524064172,0.15,0.308,7.42e-05,0.31910471446413063,0.34192415977737356,0.022819445313242925
B8,11.380213903743316,0.15,0.308,7.42e-05,0.31866212586021825,0.3258266029360901,0.007164477075871867
B8,11.48048128342246,0.15,0.308,7.42e-05,0.31822997257736996,0.31294220813706364,-0.0052877644403063195
B8,11.580748663101604,0.15,0.308,7.42e-05,0.3178079491373424,0.31721397034134563,-0.0005939787959967635
B8,11.68101604278075,0.15,0.308,7.42e-05,0.31739576004387127,0.3136368228356137,-0.00375893720825754
B8,11.781283422459891,0.15,0.308,7.42e-05,0.31699311944867314,0.3187508182582593,0.00175769880958615
B8,11.88155080213904,0.15,0.308,7.42e-05,0.3165997508270614,0.3410510426103503,0.02445129178328892
B8,11.981818181818182,0.15,0.308,7.42e-05,0.3162153866631461,0.3402417474926199,0.024026360829473792
B8,12.082085561497326,0.15,0.308,7.42e-05,0.31583976814450176,0.31556291231578193,-0.0002768558287198353
B8,12.182352941176472,0.15,0.308,7.42e-05,0.3154726448662078,0.3239352208165696,0.008462575950361817
B8,12.282620320855616,0.15,0.308,7.42e-05,0.31511377454412365,0.36989034735038084,0.054776572806257195
B8,12.38288770053476,0.15,0.308,7.42e-05,0.31476292273725087,0.3859601689926922,0.07119724625544133
B8,12.483155080213905,0.15,0.308,7.42e-05,0.3144198625790097,0.3469639613240441,0.03254409874503439
B8,12.583422459893049,0.15,0.308,7.42e-05,0.3140843745172603,0.3102003465911194,-0.0038840279261408983
B8,12.683689839572192,0.15,0.308,7.42e-05,0.3137562460628763,0.31928317703242,0.0055269309695437085
B8,12.783957219251338,0.15,0.308,7.42e-05,0.3134352715466698,0.3438602971422451,0.030425025595575306
B8,12.884224598930482,0.15,0.308,7.42e-05,0.3131212518844847,0.3401760571721512,0.027054805287666517
B8,12.984491978609626,0.15,0.308,7.42e-05,0.3128139943502198,0.3158732270913218,0.003059232741102036
B8,13.084759358288771,0.15,0.308,7.42e-05,0.31251331235660595,0.3034448597609407,-0.009068452595665244
B8,13.185026737967917,0.15,0.308,7.42e-05,0.3122190252434993,0.3076803622434841,-0.004538663000015208
B8,13.28529411764706,0.15,0.308,7.42e-05,0.3119309580734906,0.31068178259622053,-0.001249175477270048
B8,13.385561497326204,0.15,0.308,7.42e-05,0.31164894143461785,0.30849689348440756,-0.0031520479502102905
B8,13.485828877005348,0.15,0.308,7.42e-05,0.31137281124996213,0.31373485741095686,0.002362046160994724
B8,13.586096256684492,0.15,0.308,7.42e-05,0.31110240859392596,0.3270250689027378,0.015922660308811842
B8,13.686363636363636,0.15,0.308,7.42e-05,0.31083757951498103,0.3303222621069927,0.019484682592011693
B8,13.78663101604278,0.15,0.308,7.42e-05,0.3105781748646816,0.315416088593851,0.0048379137291694185
B8,13.886898395721923,0.15,0.308,7.42e-05,0.3103240501327367,0.30234844279859485,-0.007975607334141821
B8,13.98716577540107,0.15,0.308,7.42e-05,0.3100750652879551,0.31650838813605675,0.0064333228481016635
B8,14.087433155080214,0.15,0.308,7.42e-05,0.3098310846248534,0.35511817156130293,0.045287086936449505
B8,14.187700534759358,0.15,0.308,7.42e-05,0.30959197661574533,0.3850878875485939,0.07549591093284858
B8,14.287967914438504,0.15,0.308,7.42e-05,0.309357613768126,0.3784226609372176,0.06906504716909162
B8,14.388235294117647,0.15,0.308,7.42e-05,0.3091278724871663,0.3423011652238232,0.03317329273665692
B8,14.488502673796791,0.15,0.308,7.42e-05,0.3089026329431439,0.3116454061026142,0.002742773159470302
B8,14.588770053475937,0.15,0.308,7.42e-05,0.3086817789436297,0.3133313092267834,0.0046495302831537355
B8,14.68903743315508,0.15,0.308,7.42e-05,0.3084651978102809,0.34180409391416705,0.03333889610388613
B8,14.789304812834224,0.15,0.308,7.42e-05,0.3082527802600529,0.36761842077161083,0.059365640511557904
B8,14.88957219251337,0.15,0.308,7.42e-05,0.3080444202906947,0.3669523142829211,0.0589078939922264
B8,14.989839572192514,0.15,0.308,7.42e-05,0.3078400150703572,0.34068350717769774,0.032843492107340555
B8,15.090106951871658,0.15,0.308,7.42e-05,0.30763946483117904,0.3096572837490556,0.002017818917876557
B8,15.190374331550805,0.15,0.308,7.42e-05,0.3074426727666956,0.29301949630457114,-0.014423176462124487
B8,15.290641711229949,0.15,0.308,7.42e-05,0.3072495449329417,0.29390563041049106,-0.01334391452245065
B8,15.39090909090909,0.15,0.308,7.42e-05,0.30705999015310115,0.3016502745554354,-0.005409715597665732
B8,15.491176470588236,0.15,0.308,7.42e-05,0.3068739199255875,0.305507122394592,-0.0013667975309955005
B8,15.59144385026738,0.15,0.308,7.42e-05,0.3066912483354173,0.3043822891441278,-0.0023089591912894836
B8,15.691711229946524,0.15,0.308,7.42e-05,0.30651189196876133,0.30483720690701743,-0.0016746850617438969
B8,15.79197860962567,0.15,0.308,7.42e-05,0.3063357698305573,0.31184747987267514,0.005511710042117812
B8,15.892245989304811,0.15,0.308,7.42e-05,0.30616280326506423,0.32229849569452057,0.01613569242945634
B8,15.992513368983955,0.15,0.308,7.42e-05,0.305992915879254,0.32737812014127243,0.021385204262018453
B8,16.092780748663102,0.15,0.308,7.42e-05,0.3058260334689401,0.3211665856563558,0.015340552187415701
B8,16.193048128342248,0.15,0.308,7.42e-05,0.30566208394752775,0.30704800481180594,0.0013859208642781895
B8,16.29331550802139,0.15,0.308,7.42e-05,0.3055009972773023,0.29660309454863015,-0.008897902728672136
B8,16.393582887700536,0.15,0.308,7.42e-05,0.30534270540315195,0.3016817963398556,-0.003660909063296358
B8,16.49385026737968,0.15,0.308,7.42e-05,0.30518714218864057,0.32447408550160883,0.019286943312968263
B8,16.594117647058823,0.15,0.308,7.42e-05,0.30503424335433427,0.35570676190513534,0.05067251855080107
B8,16.69438502673797,0.15,0.308,7.42e-05,0.30488394641831107,0.37918328483490005,0.07429933841658898
B8,16.794652406417114,0.15,0.308,7.42e-05,0.3047361906387571,0.3822877276381241,0.07755153699936695
B8,16.894919786096256,0.15,0.308,7.42e-05,0.30459091695858614,0.36340802261966587,0.05881710566107973
B8,16.995187165775402,0.15,0.308,7.42e-05,0.3044480679519921,0.3335164115661374,0.029068343614145342
B8,17.095454545454547,0.15,0.308,7.42e-05,0.3043075877728772,0.30962369406961043,0.005316106296733236
B8,17.19572192513369,0.15,0.308,7.42e-05,0.3041694221050769,0.30547011114408146,0.0013006890390045434
B8,17.295989304812835,0.15,0.308,7.42e-05,0.30403351811431584,0.3243094761571087,0.020275958042792863
B8,17.39625668449198,0.15,0.308,7.42e-05,0.303899824401832,0.3576562984166358,0.05375647401480382
B8,17.496524064171123,0.15,0.308,7.42e-05,0.3037682909596086,0.39001385819158224,0.08624556723197363
B8,17.596791443850268,0.15,0.308,7.42e-05,0.3036388691271516,0.40670284857966493,0.10306397945251333
B8,17.697058823529414,0.15,0.308,7.42e-05,0.3035115115497518,0.40060313648288853,0.09709162493313672
B8,17.797326203208556,0.15,0.308,7.42e-05,0.30338617213819363,0.37461402435343155,0.07122785221523792
B8,17.8975935828877,0.15,0.308,7.42e-05,0.3032628060298277,0.3392780186193533,0.036015212589525614
B8,17.997860962566847,0.15,0.308,7.42e-05,0.30314136955098514,0.30735872883742144,0.004217359286436295
B8,18.09812834224599,0.15,0.308,7.42e-05,0.30302182018067275,0.28821668690702323,-0.014805133273649518
B8,18.198395721925134,0.15,0.308,7.42e-05,0.30290411651549526,0.2845485527992846,-0.018355563716210666
B8,18.29866310160428,0.15,0.308,7.42e-05,0.30278821823577345,0.29258991741328333,-0.010198300822490125
B8,18.398930481283426,0.15,0.308,7.42e-05,0.30267408607280133,0.30497449013972217,0.002300404066920836
B8,18.499197860962568,0.15,0.308,7.42e-05,0.3025616817772134,0.3146732097767125,0.012111527999499105
B8,18.599465240641713,0.15,0.308,7.42e-05,0.30245096808840616,0.31766303609728513,0.015212068008878976
B8,18.699732620320855,0.15,0.308,7.42e-05,0.30234190870499267,0.31435949494501264,0.012017586240019973
B8,18.8,0.15,0.308,7.42e-05,0.3022344682562364,0.30815380236218026,0.005919334105943863
B8,0.05,0.33571,0.308,7.42e-05,0.5476217132926241,0.5476271371401294,5.423847505348078e-06
B8,0.1502673796791443,0.33571,0.308,7.42e-05,0.5447685149399254,0.5448895833979253,0.00012106845799986221
B8,0.2505347593582888,0.33571,0.308,7.42e-05,0.5418592077723718,0.541719712939743,-0.00013949483262887252
B8,0.3508021390374331,0.33571,0.308,7.42e-05,0.538894905397443,0.5386972808285384,-0.00019762456890459745
B8,0.4510695187165775,0.33571,0.308,7.42e-05,0.5358769259882084,0.5361452849395907,0.00026835895138233035
B8,0.551336898395722,0.33571,0.308,7.42e-05,0.5328067970184048,0.5331445474432536,0.0003377504248487373
B8,0.6516042780748663,0.33571,0.308,7.42e-05,0.5296862584794492,0.5294927794784147,-0.00019347900103450222
B8,0.7518716577540108,0.33571,0.308,7.42e-05,0.5265172644139361,0.52649809286335,-1.9171550586061237e-05
B8,0.8521390374331551,0.33571,0.308,7.42e-05,0.5233019826159806,0.523049429620179,-0.0002525529958016248
B8,0.9524064171122996,0.33571,0.308,7.42e-05,0.5200427923699201,0.5202594861860304,0.00021669381611022498
B8,1.052673796791444,0.33571,0.308,7.42e-05,0.5167422801252568,0.5167586306597199,1.6350534463138722e-05
B8,1.1529411764705884,0.33571,0.308,7.42e-05,0.5134032330369681,0.5130422472934338,-0.00036098574353427004
B8,1.2532085561497326,0.33571,0.308,7.42e-05,0.5100286303359703,0.5099094319658375,-0.00011919837013285584
B8,1.353475935828877,0.33571,0.308,7.42e-05,0.5066216325338088,0.5065782447968286,-4.338773698020493e-05
B8,1.4537433155080215,0.33571,0.308,7.42e-05,0.5031855685075199,0.503335144109145,0.00014957560162509598
B8,1.5540106951871655,0.33571,0.308,7.42e-05,0.49972392055396353,0.4989742878646603,-0.0007496326893032257
B8,1.6542780748663102,0.33571,0.308,7.42e-05,0.4962403075464029,0.4961854026839263,-5.4904862476612415e-05
B8,1.7545454545454546,0.33571,0.308,7.42e-05,0.49273846636822227,0.49267481805313185,-6.364831509042546e-05
B8,1.8548128342245989,0.33571,0.308,7.42e-05,0.48922223183814423,0.48921615546273217,-6.076375412056301e-06
B8,1.955080213903743,0.33571,0.308,7.42e-05,0.48569551537642675,0.48569977723204294,4.26185561619441e-06
B8,2.0553475935828875,0.33571,0.308,7.42e-05,0.48216228269132905,0.4821379187876731,-2.4363903655955088e-05
B8,2.155614973262032,0.33571,0.308,7.42e-05,0.47862653078821216,0.4786225204442936,-4.010343918559034e-06
B8,2.2558823529411764,0.33571,0.308,7.42e-05,0.47509226461931,0.4751893723383172,9.710771900722781e-05
