source,E_MeV,eta_rad,sin2theta12,dm21_eV2,dm21_1e5_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,5.0,0.25,0.24,5e-05,5.0,0.31061879463309616,0.3233225244386663,0.012703729805570163
B8,7.0,0.25,0.24,5e-05,5.0,0.27082017691157145,0.2811352357801041,0.010315058868532623
B8,10.0,0.25,0.24,5e-05,5.0,0.24834305313543129,0.3194228118744278,0.0710797587389965
B8,12.0,0.25,0.24,5e-05,5.0,0.24192259587193793,0.3381326147097561,0.09621001883781816
B8,14.0,0.25,0.24,5e-05,5.0,0.238145723040611,0.3047741875960083,0.06662846455539728
B8,5.0,0.8,0.24,5e-05,5.0,0.31061879463309616,0.3143272995445324,0.003708504911436261
B8,7.0,0.8,0.24,5e-05,5.0,0.27082017691157145,0.2706865164448638,-0.00013366046670765241
B8,10.0,0.8,0.24,5e-05,5.0,0.24834305313543129,0.27339975648550124,0.02505670335006996
B8,12.0,0.8,0.24,5e-05,5.0,0.24192259587193793,0.2753132029722717,0.03339060710033376
B8,14.0,0.8,0.24,5e-05,5.0,0.238145723040611,0.2555764840469606,0.017430761006349604
B8,5.0,1.25,0.24,5e-05,5.0,0.31061879463309616,0.31067828380134765,5.9489168251491975e-05
B8,7.0,1.25,0.24,5e-05,5.0,0.27082017691157145,0.289308835745408,0.018488658833836547
B8,10.0,1.25,0.24,5e-05,5.0,0.24834305313543129,0.25083124325653383,0.002488190121102546
B8,12.0,1.25,0.24,5e-05,5.0,0.24192259587193793,0.28225943629227995,0.040336840420342024
B8,14.0,1.25,0.24,5e-05,5.0,0.238145723040611,0.2837255875685389,0.045579864527927894
B8,5.0,0.25,0.24,5.125e-05,5.124999999999999,0.31437021694788153,0.31313787136131827,-0.001232345586563266
B8,7.0,0.25,0.24,5.125e-05,5.124999999999999,0.2730324040505168,0.2789030734109835,0.005870669360466707
B8,10.0,0.25,0.24,5.125e-05,5.124999999999999,0.24940780488531733,0.25273270937750897,0.003324904492191638
B8,12.0,0.25,0.24,5.125e-05,5.124999999999999,0.2426342326336107,0.2479696448974912,0.005335412263880512
B8,14.0,0.25,0.24,5.125e-05,5.124999999999999,0.2386492949918767,0.24788300970114027,0.009233714709263569
B8,5.0,0.8,0.24,5.125e-05,5.124999999999999,0.31437021694788153,0.3149379721020369,0.0005677551541553583
B8,7.0,0.8,0.24,5.125e-05,5.124999999999999,0.2730324040505168,0.2924469571866825,0.01941455313616569
B8,10.0,0.8,0.24,5.125e-05,5.124999999999999,0.24940780488531733,0.26861302984428453,0.019205224958967204
B8,12.0,0.8,0.24,5.125e-05,5.124999999999999,0.2426342326336107,0.26728703878080395,0.024652806147193257
B8,14.0,0.8,0.24,5.125e-05,5.124999999999999,0.2386492949918767,0.2832617552013129,0.04461246020943621
B8,5.0,1.25,0.24,5.125e-05,5.124999999999999,0.31437021694788153,0.3252692172964711,0.010899000348589594
B8,7.0,1.25,0.24,5.125e-05,5.124999999999999,0.2730324040505168,0.28757108206226695,0.014538678011750128
B8,10.0,1.25,0.24,5.125e-05,5.124999999999999,0.24940780488531733,0.25346928736114827,0.004061482475830935
B8,12.0,1.25,0.24,5.125e-05,5.124999999999999,0.2426342326336107,0.26551485116140633,0.022880618527795632
B8,14.0,1.25,0.24,5.125e-05,5.124999999999999,0.2386492949918767,0.2643368082586675,0.025687513266790807
B8,5.0,0.25,0.24,5.25e-05,5.25,0.3181378387407677,0.31512505167246546,-0.003012787068302214
B8,7.0,0.25,0.24,5.25e-05,5.25,0.2752909485942572,0.2781518765588743,0.0028609279646171215
B8,10.0,0.25,0.24,5.25e-05,5.25,0.2505034391547538,0.2757376890276447,0.025234249872890857
