source,E_MeV,spectrum_per_MeV,kind
pp,0.02,0.1471280602636535,continuum
pp,0.04,0.5311322975517891,continuum
pp,0.06,1.072563559322034,continuum
pp,0.08,1.7008003766478343,continuum
pp,0.1,2.3540489642184554,continuum
pp,0.12000000000000001,2.979343220338984,continuum
pp,0.13999999999999999,3.5325447269303205,continuum
pp,0.16,3.9783427495291916,continuum
pp,0.18,4.290254237288136,continuum
pp,0.19999999999999998,4.450623822975517,continuum
pp,0.22,4.450623822975517,continuum
pp,0.24,4.290254237288136,continuum
pp,0.26,3.9783427495291894,continuum
pp,0.28,3.532544726930319,continuum
pp,0.30000000000000004,2.979343220338981,continuum
pp,0.32,2.354048964218455,continuum
pp,0.34,1.7008003766478332,continuum
pp,0.36000000000000004,1.0725635593220322,continuum
pp,0.38,0.5311322975517886,continuum
pp,0.4,0.14712806026365297,continuum
pp,0.42000000000000004,0.0,continuum
pp,0.44,0.0,continuum
pp,0.46,0.0,continuum
pp,0.48000000000000004,0.0,continuum
pp,0.5,0.0,continuum
pp,0.52,0.0,continuum
pp,0.54,0.0,continuum
pp,0.56,0.0,continuum
pp,0.5800000000000001,0.0,continuum
pp,0.6,0.0,continuum
pp,0.62,0.0,continuum
pp,0.64,0.0,continuum
pp,0.66,0.0,continuum
pp,0.68,0.0,continuum
pp,0.7000000000000001,0.0,continuum
pp,0.7200000000000001,0.0,continuum
pp,0.74,0.0,continuum
pp,0.76,0.0,continuum
pp,0.78,0.0,continuum
pp,0.8,0.0,continuum
pp,0.8200000000000001,0.0,continuum
pp,0.8400000000000001,0.0,continuum
pp,0.86,0.0,continuum
pp,0.88,0.0,continuum
pp,0.9,0.0,continuum
pp,0.92,0.0,continuum
pp,0.9400000000000001,0.0,continuum
pp,0.9600000000000001,0.0,continuum
pp,0.98,0.0,continuum
pp,1.0,0.0,continuum
pp,1.02,0.0,continuum
pp,1.04,0.0,continuum
pp,1.06,0.0,continuum
pp,1.08,0.0,continuum
pp,1.1,0.0,continuum
pp,1.12,0.0,continuum
pp,1.1400000000000001,0.0,continuum
