E_MeV,sigma_nue_cm2,sigma_nux_cm2,sigma_mass_1_cm2,sigma_mass_2_cm2,sigma_mass_3_cm2,Ue1_abs2,Ue2_abs2,Ue3_abs2
0.05,1.5904115559600305e-46,3.3994785882403026e-47,1.187108002875897e-46,7.152410250923174e-47,3.6795824563987664e-47,0.6774768000000001,0.3001232,0.0224
0.15026737967914439,4.013653141771585e-46,1.1504250891644003e-46,3.0901956679149475e-46,2.0097462546426368e-46,1.2145613975428012e-46,0.6774768000000001,0.3001232,0.0224
0.2505347593582888,9.360028046673829e-46,2.523849626919202e-46,7.155201906963625e-46,4.575545370026903e-46,2.6769800235217058e-46,0.6774768000000001,0.3001232,0.0224
0.3508021390374331,1.729719293334723e-45,4.463456000862947e-46,1.3158015029924217e-45,8.315158196998314e-46,4.750931708150595e-46,0.6774768000000001,0.3001232,0.0224
0.4510695187165775,2.5562997396722494e-45,6.2397391572268285e-46,1.9330798314893988e-45,1.2039097254490633e-45,6.672580141791531e-46,0.6774768000000001,0.3001232,0.0224
0.551336898395722,3.403897528357434e-45,7.923534833588024e-46,2.5616139860235314e-45,1.5761384390847355e-45,8.508520699667717e-46,0.6774768000000001,0.3001232,0.0224
0.6516042780748663,4.025197793038314e-45,8.948095499319557e-46,3.015574959629274e-45,1.8343116866954138e-45,9.649302465775382e-46,0.6774768000000001,0.3001232,0.0224
0.7518716577540108,4.8901907276329816e-45,1.0563506477998009e-45,3.6536883567969297e-45,2.2069750008475905e-45,1.1422286655880641e-45,0.6774768000000001,0.3001232,0.0224
0.8521390374331551,5.761930366246093e-45,1.2150191935212926e-45,4.295446024703138e-45,2.5796527247952122e-45,1.3168700037903281e-45,0.6774768000000001,0.3001232,0.0224
0.9524064171122995,6.638593955881956e-45,1.3716347778591722e-45,4.939877427516679e-45,2.9523714206367396e-45,1.4896146634468826e-45,0.6774768000000001,0.3001232,0.0224
1.052673796791444,7.518947014014378e-45,1.526734943596102e-45,5.586319601984451e-45,3.32513680524866e-45,1.6609604939734714e-45,0.6774768000000001,0.3001232,0.0224
1.1529411764705884,8.659177779172138e-45,1.7329026942412498e-45,6.425293374699957e-45,3.8116385368109797e-45,1.8880512561437018e-45,0.6774768000000001,0.3001232,0.0224
1.2532085561497326,9.546756948332084e-45,1.885021647227299e-45,7.075669561466806e-45,4.18448616334783e-45,2.056644517972046e-45,0.6774768000000001,0.3001232,0.0224
1.353475935828877,1.0435831687544616e-44,2.0365604251307026e-45,7.726871842322843e-45,4.557376594074406e-45,2.2247041014087745e-45,0.6774768000000001,0.3001232,0.0224
1.4537433155080215,1.1326110278151717e-44,2.187633747760277e-45,8.378739584444973e-45,4.930302567186253e-45,2.3923356220410454e-45,0.6774768000000001,0.3001232,0.0224
1.5540106951871657,1.2217372007620077e-44,2.3383280134973385e-45,9.031151125694832e-45,5.3032583099542353e-45,2.5596185989656877e-45,0.6774768000000001,0.3001232,0.0224
1.6542780748663102,1.310944686998851e-44,2.4887095160675214e-45,9.68401267224238e-45,5.67623919708582e-45,2.7266140327953515e-45,0.6774768000000001,0.3001232,0.0224
1.7545454545454546,1.4002201832541022e-44,2.6388299622983758e-45,1.033725077416038e-44,6.049241490785583e-45,2.893369492191811e-45,0.6774768000000001,0.3001232,0.0224
1.8548128342245989,1.4895531325095024e-44,2.788730269811099e-45,1.0990807106981476e-44,6.422262144286287e-45,3.059922613449459e-45,0.6774768000000001,0.3001232,0.0224
1.9550802139037433,1.6057817842946162e-44,2.985675124158101e-45,1.1841748542425937e-44,6.908928427777474e-45,3.278491121058954e-45,0.6774768000000001,0.3001232,0.0224
2.0553475935828875,1.6953006594119264e-44,3.1348535089690274e-45,1.249633164300674e-44,7.282001830974188e-45,3.444380138076393e-45,0.6774768000000001,0.3001232,0.0224
2.1556149732620318,1.7848477134295777e-44,3.2839260711600416e-45,1.315107151884984e-44,7.65508574279174e-45,3.610172014974282e-45,0.6774768000000001,0.3001232,0.0224
2.2558823529411764,1.8744192801283893e-44,3.4329066325903393e-45,1.380594779004111e-44,8.028178833654388e-45,3.775879442769075e-45,0.6774768000000001,0.3001232,0.0224
2.3561497326203207,1.9640123024998546e-44,3.581806709374059e-45,1.4460943460271127e-44,8.40127998863149e-45,3.941512994844048e-45,0.6774768000000001,0.3001232,0.0224
2.456417112299465,2.0536242113200885e-44,3.730635973256419e-45,1.511604424300635e-44,8.7743882659162e-45,4.107081550791175e-45,0.6774768000000001,0.3001232,0.0224
2.5566844919786096,2.170534133267014e-44,3.924826736463195e-45,1.597071286745477e-44,9.261171674723531e-45,4.323110263418231e-45,0.6774768000000001,0.3001232,0.0224
2.656951871657754,2.2602376184268394e-44,4.073308792628495e-45,1.6626322076101042e-44,9.634311791223115e-45,4.488359902201229e-45,0.6774768000000001,0.3001232,0.0224
2.757219251336898,2.3499501574131963e-44,4.221757353531161e-45,1.7281981819322288e-44,1.0007455637799379e-44,4.653578824072619e-45,0.6774768000000001,0.3001232,0.0224
2.8574866310160427,2.439670808254587e-44,4.3701759081473386e-45,1.7937686840755898e-44,1.0380602829230783e-44,4.818770228853866e-45,0.6774768000000001,0.3001232,0.0224
2.957754010695187,2.5293987552551286e-44,4.5185674771981495e-45,1.8593432588504154e-44,1.0753753031557373e-44,4.9839368868860596e-45,0.6774768000000001,0.3001232,0.0224
3.058021390374331,2.6191332885234584e-44,4.66693468914746e-45,1.924921510095834e-44,1.1126905953831355e-44,5.149081208739812e-45,0.6774768000000001,0.3001232,0.0224
3.158288770053476,2.7364403436213956e-44,4.859550933877484e-45,2.010606639163239e-44,1.1613779282406714e-44,5.3636596299298216e-45,0.6774768000000001,0.3001232,0.0224
3.25855614973262,2.826227477061212e-44,5.0077218017396125e-45,2.0762141932521858e-44,1.1986952653327127e-44,5.528623788242357e-45,0.6774768000000001,0.3001232,0.0224
