source,E_MeV,spectrum_per_MeV,flux_cm2_s,flux_per_MeV_cm2_s
pp,0.00504,0.003500019169604992,60300000000.0,211051155.927181
pp,0.01008,0.013800075583013967,60300000000.0,832144557.6557422
pp,0.01512,0.03070016814482093,60300000000.0,1851220139.132702
pp,0.02016,0.05380029466421388,60300000000.0,3244157768.2520967
pp,0.0252,0.08300045459348981,60300000000.0,5004927411.987435
pp,0.03024,0.11790064574183673,60300000000.0,7109408938.232755
pp,0.03528,0.15820086646614565,60300000000.0,9539512247.908583
pp,0.04032,0.20380111621871352,60300000000.0,12289207307.988426
pp,0.04537,0.25430139280872843,60300000000.0,15334373986.366325
pp,0.05041,0.3094016945930813,60300000000.0,18656922183.962803
pp,0.05545,0.36910202157177213,60300000000.0,22256851900.77786
pp,0.06049,0.432902371006286,60300000000.0,26104012971.679043
pp,0.06553,0.5006027418012169,60300000000.0,30186345330.613377
pp,0.07057,0.5721031334088618,60300000000.0,34497818944.55437
pp,0.07561,0.6469035430907055,60300000000.0,39008283648.369545
pp,0.08065,0.7250039708467483,60300000000.0,43717739442.05892
pp,0.08569,0.8061044150338812,60300000000.0,48608096226.54304
pp,0.09073,0.889904874008995,60300000000.0,53661263902.7424
pp,0.09577,0.9761053461289807,60300000000.0,58859152371.57754
pp,0.10081,1.0647058313938385,60300000000.0,64201761633.04846
pp,0.10585,1.1553063276127562,60300000000.0,69664971555.0492
pp,0.11089,1.247706833690328,60300000000.0,75236722071.52678
pp,0.11593,1.3417073485311477,60300000000.0,80904953116.4282
pp,0.12097,1.4370078704921068,60300000000.0,86651574590.67404
pp,0.12601,1.5335083990255014,60300000000.0,92470556461.23773
pp,0.13106,1.6310089330359263,60300000000.0,98349838662.06636
pp,0.1361,1.7291094703325691,60300000000.0,104265301061.05392
pp,0.14114,1.8278100109154298,60300000000.0,110216943658.20042
pp,0.14618,1.9267105525936965,60300000000.0,116180646321.3999
pp,0.15122,2.025811095367369,60300000000.0,122156409050.65236
pp,0.15626,2.124711637045636,60300000000.0,128120111713.85184
pp,0.1613,2.223312177080794,60300000000.0,134065724277.97188
pp,0.16634,2.321412714377437,60300000000.0,139981186676.95944
pp,0.17138,2.4187132472924553,60300000000.0,145848408811.73505
pp,0.17642,2.515113775278147,60300000000.0,151661360649.27225
pp,0.18146,2.6105142977868088,60300000000.0,157414012156.54456
pp,0.1865,2.704414812079926,60300000000.0,163076213168.41953
pp,0.19154,2.7969153187052003,60300000000.0,168653993717.92358
pp,0.19658,2.8877158160195244,60300000000.0,174129263705.97733
pp,0.20162,2.976616302927491,60300000000.0,179489963066.5277
pp,0.20666,3.063416778333695,60300000000.0,184724031733.52182
pp,0.21171,3.1479172411427294,60300000000.0,189819409640.9066
pp,0.21675,3.2300176908068923,60300000000.0,194770066755.6556
pp,0.22179,3.3094181256830746,60300000000.0,199557912978.6894
pp,0.22683,3.385918544675869,60300000000.0,204170888243.9549
pp,0.23187,3.459418947237574,60300000000.0,208602962518.42572
pp,0.23691,3.5298193328204857,60300000000.0,212848105769.0753
pp,0.24195,3.5966196986860894,60300000000.0,216876167830.77118
pp,0.24699,3.6599200453820884,60300000000.0,220693178736.53992
pp,0.25203,3.719420371265373,60300000000.0,224281048387.302
pp,0.25707,3.7749206752405384,60300000000.0,227627716717.00446
pp,0.26211,3.826220956212177,60300000000.0,230721123659.59427
pp,0.26715,3.8731212130848838,60300000000.0,233549209149.0185
pp,0.27219,3.9154214447632527,60300000000.0,236099913119.22415
pp,0.27723,3.952921650151878,60300000000.0,238361175504.15823
pp,0.28227,3.9854218281553524,60300000000.0,240320936237.76776
pp,0.28731,4.012721977678272,60300000000.0,241967135253.9998
pp,0.29235,4.0344220965298225,60300000000.0,243275652420.7483
pp,0.2974,4.050522184710006,60300000000.0,244246487738.0134
pp,0.30244,4.0605222394803056,60300000000.0,244849491040.6624
pp,0.30748,4.064422260840723,60300000000.0,245084662328.6956
pp,0.31252,4.061722246052741,60300000000.0,244921851436.98032
pp,0.31756,4.052222194020956,60300000000.0,244348998299.46365
pp,0.3226,4.035622103102258,60300000000.0,243348012817.06616
pp,0.32764,4.011421970558133,60300000000.0,241888744824.65543
pp,0.33268,3.979421795293173,60300000000.0,239959134256.17834
pp,0.33772,3.9391215745688637,60300000000.0,237529030946.50247
pp,0.34276,3.890021305646691,60300000000.0,234568284730.49548
pp,0.3478,3.831620985788139,60300000000.0,231046745443.02478
pp,0.35284,3.763220611159287,60300000000.0,226922202852.90503
pp,0.35788,3.6842201784739177,60300000000.0,222158476761.97723
pp,0.36292,3.593719682802703,60300000000.0,216701296873.003
pp,0.36796,3.4907191186686126,60300000000.0,210490362855.71735
pp,0.373,3.3740184794992123,60300000000.0,203453314313.8025
pp,0.37804,3.2422177576266584,60300000000.0,195505730784.8875
pp,0.38309,3.093216941549189,60300000000.0,186520981575.41608
pp,0.38813,2.924616018121931,60300000000.0,176354345892.75244
pp,0.39317,2.733014968722984,60300000000.0,164800802613.99594
pp,0.39821,2.5136137670626018,60300000000.0,151570910153.87488
pp,0.40325,2.2589123720630617,60300000000.0,136212416035.40262
pp,0.40829,1.9567107169045965,60300000000.0,117989656229.34717
pp,0.41333,1.5832086712338922,60300000000.0,95467482875.4037
pp,0.41837,1.0783059058814466,60300000000.0,65021846124.65123
pp,0.42341,0.0,60300000000.0,0.0
13N,0.005995,0.00032302144069647654,204000000.0,65896.37390208122
13N,0.01199,0.0012825057200582975,204000000.0,261631.16689189267
13N,0.017985,0.0028641127741278515,204000000.0,584279.0059220816
13N,0.02398,0.005053722539928747,204000000.0,1030959.3981454644
13N,0.029975,0.007837134954127783,204000000.0,1598775.5306420678
13N,0.03597,0.011200049952945755,204000000.0,2284810.1904009343
13N,0.041965,0.015130067481077612,204000000.0,3086533.766139833
13N,0.04796,0.019611087466716,204000000.0,4000661.843210064
13N,0.053955,0.0246311098563399,204000000.0,5024746.41069334
13N,0.05995,0.030176134587508136,204000000.0,6155931.45585166
13N,0.065945,0.03623216159777952,204000000.0,7391360.965947022
13N,0.07194,0.04278619082917295,204000000.0,8728382.929151282
13N,0.077935,0.04982522222370735,204000000.0,10164345.333636299
13N,0.08393,0.0573352557189415,204000000.0,11696392.166664066
13N,0.089925,0.06530429126135442,204000000.0,13322075.417316303
13N,0.09592,0.07371832878850493,204000000.0,15038539.072855005
13N,0.10192,0.08256536824687198,204000000.0,16843335.122361884
13N,0.10791,0.09183240957847451,204000000.0,18733811.5540088
13N,0.11391,0.10151045274317175,204000000.0,20708132.359607037
13N,0.1199,0.11157049761162124,204000000.0,22760381.512770735
13N,0.1259,0.12202054421950366,204000000.0,24892191.020778745
13N,0.13189,0.13284059247761734,204000000.0,27099480.86543394
13N,0.13789,0.14402064234136142,204000000.0,29380211.03763773
13N,0.14388,0.15554069372153417,204000000.0,31730301.51919297
13N,0.14988,0.16740074661813564,204000000.0,34149752.31009967
13N,0.15587,0.17957080089736333,204000000.0,36632443.38306212
13N,0.16187,0.19206085660381803,204000000.0,39180414.747178875
13N,0.16786,0.20484091360369716,204000000.0,41787546.37515422
13N,0.17386,0.21791097189700084,204000000.0,44453838.26698817
13N,0.17985,0.23125103139452732,204000000.0,47175210.40448357
13N,0.18585,0.24486109209627654,204000000.0,49951662.787640415
13N,0.19184,0.25871115386844606,204000000.0,52777075.389162995
13N,0.19784,0.27281121675563674,204000000.0,55653488.21814989
13N,0.20383,0.2871312806240459,204000000.0,58574781.24730536
13N,0.20983,0.30167134547367375,204000000.0,61540954.47662944
13N,0.21582,0.31642141125991924,204000000.0,64549967.89702352
13N,0.22182,0.33137147793818167,204000000.0,67599781.49938907
13N,0.22781,0.34650154541925926,204000000.0,70686315.26552889
13N,0.23381,0.3618016136585513,204000000.0,73807529.18634446
13N,0.2398,0.3772716826560576,204000000.0,76963423.26183575
13N,0.24579,0.3928917523225766,204000000.0,80149917.47380564
13N,0.25179,0.4086518226135074,204000000.0,83364971.81315552
13N,0.25779,0.42455189352885,204000000.0,86608586.2798854
13N,0.26378,0.4405719649794028,204000000.0,89876680.85579817
13N,0.26978,0.4567020369205648,204000000.0,93167215.53179522
13N,0.27577,0.4729321093077354,204000000.0,96478150.29877801
13N,0.28177,0.48926218214091427,204000000.0,99809485.1567465
13N,0.28776,0.5056722553309,204000000.0,103157140.0875036
13N,0.29376,0.5221523288330916,204000000.0,106519075.08195068
13N,0.29975,0.5386924026028883,204000000.0,109893250.13098921
13N,0.30575,0.5552924766402899,204000000.0,113279665.23461914
13N,0.31174,0.5719325508560952,204000000.0,116674240.37464342
13N,0.31774,0.5886126252503036,204000000.0,120076975.55106193
13N,0.32373,0.6053226997783147,204000000.0,123485830.7547762
13N,0.32972,0.6220427743509266,204000000.0,126896725.96758902
13N,0.33572,0.6387728489681392,204000000.0,130309661.1895004
13N,0.34172,0.6554929235407512,204000000.0,133720556.40231323
13N,0.34771,0.672212998113363,204000000.0,137131451.61512604
13N,0.35371,0.6889130725967733,204000000.0,140538266.80974174
13N,0.3597,0.7055831469463808,204000000.0,143938961.9770617
13N,0.36569,0.722223221162186,204000000.0,147333537.11708593
13N,0.37169,0.7388132951549868,204000000.0,150717912.21161732
13N,0.37769,0.7553533689247836,204000000.0,154092087.26065585
13N,0.38368,0.7718334424269752,204000000.0,157454022.25510293
13N,0.38967,0.7882435156169609,204000000.0,160801677.18586004
13N,0.39567,0.8045835884947407,204000000.0,164135052.0529271
13N,0.40167,0.8208336609711128,204000000.0,167450066.838107
13N,0.40766,0.8369837330014765,204000000.0,170744681.53230122
13N,0.41365,0.8530438046304327,204000000.0,174020936.1446083
13N,0.41965,0.8689938757687796,204000000.0,177274750.65683106
13N,0.42565,0.8848339464165171,204000000.0,180506125.0689695
13N,0.43164,0.9005440164844437,204000000.0,183710979.36282653
13N,0.43764,0.9161240859725595,204000000.0,186889313.53840214
13N,0.44363,0.931574154880864,204000000.0,190041127.59569627
13N,0.44963,0.946874223120156,204000000.0,193162341.51651183
13N,0.45562,0.9620242906904353,204000000.0,196252955.30084878
13N,0.46162,0.9770143575471011,204000000.0,199310928.93960863
13N,0.46761,0.9918344236455525,204000000.0,202334222.4236927
13N,0.47361,1.0065044890749912,204000000.0,205326915.7712982
13N,0.4796,1.0210045537462156,204000000.0,208284928.96422797
13N,0.4856,1.0353046175254232,204000000.0,211202141.97518635
13N,0.49159,1.049404680412614,204000000.0,214078554.80417326
13N,0.49759,1.0633047424077875,204000000.0,216914167.45118865
13N,0.50358,1.0770048035109445,204000000.0,219708979.91623268
13N,0.50958,1.090404863276076,204000000.0,222442592.10831952
13N,0.51557,1.103704922595199,204000000.0,225155804.2094206
13N,0.52157,1.1168049810223053,204000000.0,227828216.1285503
13N,0.52756,1.129605038111386,204000000.0,230439427.77472275
13N,0.53356,1.1422050943084503,204000000.0,233009839.23892385
13N,0.53955,1.154505149167489,204000000.0,235519050.43016773
13N,0.54555,1.1666052031345107,204000000.0,237987461.43944016
13N,0.55154,1.1785052562095155,204000000.0,240415072.26674116
13N,0.55754,1.1901053079464947,204000000.0,242781482.82108492
13N,0.56353,1.2014053583454491,204000000.0,245086693.10247162
13N,0.56953,1.2125054078523863,204000000.0,247351103.2018868
13N,0.57552,1.2233054560212984,204000000.0,249554313.02834487
13N,0.58152,1.233805502852185,204000000.0,251696322.58184576
13N,0.58751,1.2440055483450463,204000000.0,253777131.86238945
13N,0.59351,1.2540055929458909,204000000.0,255817140.96096173
13N,0.5995,1.2636056357627015,204000000.0,257775549.6955911
13N,0.6055,1.2730056776874952,204000000.0,259693158.24824902
13N,0.61149,1.2821057182742637,204000000.0,261549566.52794978
13N,0.61748,1.2908057570769982,204000000.0,263324374.44370762
13N,0.62348,1.2993057949877158,204000000.0,265058382.17749402
13N,0.62948,1.3074058311144,204000000.0,266710789.5473376
13N,0.63547,1.315305866349067,204000000.0,268322396.73520967
13N,0.64147,1.322705899353692,204000000.0,269832003.4681532
13N,0.64746,1.3299059314663,204000000.0,271300810.0191252
13N,0.65346,1.3368059622408826,204000000.0,272708416.29714006
13N,0.65945,1.3433059912314314,204000000.0,274034422.211212
13N,0.66544,1.3494060184379464,204000000.0,275278827.76134104
13N,0.67144,1.3553060447524448,204000000.0,276482433.1294987
13N,0.67744,1.3608060692829091,204000000.0,277604438.1337135
13N,0.68343,1.3659060920293398,204000000.0,278644842.7739853
13N,0.68942,1.3707061134377452,204000000.0,279624047.1413
13N,0.69542,1.3751061330621168,204000000.0,280521651.14467186
13N,0.70142,1.379206151348463,204000000.0,281358054.8750865
13N,0.70741,1.3829061678507755,204000000.0,282112858.2415582
13N,0.71341,1.3863061830150625,204000000.0,282806461.33507276
13N,0.7194,1.3892061959493074,204000000.0,283398063.9736587
13N,0.7254,1.3918062075455269,204000000.0,283928466.33928746
13N,0.73139,1.3941062178037211,204000000.0,284397668.4319591
13N,0.73739,1.395906225831873,204000000.0,284764870.0697021
13N,0.74338,1.3974062325219998,204000000.0,285070871.43448794
13N,0.74938,1.3985062374280928,204000000.0,285295272.4353309
13N,0.75537,1.3992062405501517,204000000.0,285438073.07223094
13N,0.76137,1.3996062423341855,204000000.0,285519673.43617386
13N,0.76736,1.3995062418881772,204000000.0,285499273.34518814
13N,0.77336,1.3991062401041434,204000000.0,285417672.9812453
13N,0.77935,1.3982062360900676,204000000.0,285234072.1623738
13N,0.78535,1.397006230737966,204000000.0,284989271.0705451
13N,0.79134,1.3953062231558224,204000000.0,284642469.5237878
13N,0.79734,1.3933062142356536,204000000.0,284234467.7040733
13N,0.80333,1.390906203531451,204000000.0,283744865.520416
13N,0.80933,1.3880061905972059,204000000.0,283153262.88183
13N,0.81532,1.3848061763249357,204000000.0,282500459.9702869
13N,0.82131,1.3811061598226233,204000000.0,281745656.60381514
13N,0.82731,1.377006141536277,204000000.0,280909252.8734005
13N,0.83331,1.3726061219119057,204000000.0,280011648.87002873
13N,0.8393,1.3677061000574917,204000000.0,279012044.4117283
13N,0.8453,1.3623060759730359,204000000.0,277910439.49849933
13N,0.85129,1.3566060505505546,204000000.0,276747634.31231314
13N,0.85729,1.3505060233440396,204000000.0,275503228.7621841
13N,0.86328,1.3439059939074822,204000000.0,274156822.7571264
13N,0.86928,1.336905962686891,204000000.0,272728816.3881258
13N,0.87527,1.329505929682266,204000000.0,271219209.65518224
13N,0.88127,1.3216058944475992,204000000.0,269607602.46731025
13N,0.88726,1.3134058578749066,204000000.0,267934795.00648093
13N,0.89325,1.3047058190721719,204000000.0,266159987.09072307
13N,0.89925,1.2955057780393953,204000000.0,264283178.72003663
13N,0.90525,1.2859057352225844,204000000.0,262324769.98540723
13N,0.91124,1.27590569062174,204000000.0,260284760.88683498
13N,0.91724,1.265505644236862,204000000.0,258163151.42431983
13N,0.92323,1.2546055956219413,204000000.0,255939541.50687602
13N,0.92923,1.2433055452229873,204000000.0,253634331.2254894
13N,0.93522,1.2315054925939908,204000000.0,251227120.48917413
13N,0.94122,1.2193054381809607,204000000.0,248738309.388916
13N,0.94721,1.206605381537888,204000000.0,246147497.83372918
13N,0.95321,1.193505323110782,204000000.0,243475085.9145995
13N,0.9592,1.1799052624536335,204000000.0,240700673.54054123
13N,0.9652,1.165805199566443,204000000.0,237824260.71155435
13N,0.97119,1.1513051348952186,204000000.0,234866247.5186246
13N,0.97719,1.136305067993952,204000000.0,231806233.8707662
13N,0.98318,1.1209049993086515,204000000.0,228664619.85896492
13N,0.98918,1.1050049283933088,204000000.0,225421005.39223498
13N,0.99517,1.088604855247924,204000000.0,222075390.4705765
13N,1.0012,1.071704779872497,204000000.0,218627775.0939894
13N,1.0072,1.0543047022670275,204000000.0,215078159.2624736
13N,1.0132,1.036404622431516,204000000.0,211426542.97602925
13N,1.0192,1.0180045403659623,204000000.0,207672926.2346563
13N,1.0251,0.9990744559365639,204000000.0,203811189.01105902
13N,1.0311,0.9796243691879215,204000000.0,199843371.314336
13N,1.0371,0.9596442800754343,204000000.0,195767433.1353886
13N,1.0431,0.9391041884652999,204000000.0,191577254.44692117
13N,1.0491,0.9180040943575182,204000000.0,187272835.2489337
13N,1.0551,0.8963239976628874,204000000.0,182850095.52322903
13N,1.0611,0.8740538983368069,204000000.0,178306995.2607086
13N,1.0671,0.8511537962008731,204000000.0,173635374.4249781
13N,1.0731,0.8276136912104853,204000000.0,168833193.006939
13N,1.0791,0.8034135832764419,204000000.0,163896370.98839414
13N,1.0851,0.7785134722203393,204000000.0,158816748.33294922
13N,1.0911,0.752883357908375,204000000.0,153588205.0133085
13N,1.0971,0.7264832401621457,204000000.0,148202580.99307773
13N,1.1031,0.6992731188032479,204000000.0,142651716.23586258
13N,1.1091,0.6711729934748752,204000000.0,136919290.66887456
13N,1.1151,0.6421428639986239,204000000.0,130997144.25571927
13N,1.1211,0.6121027300176871,204000000.0,124868956.92360817
13N,1.1271,0.580942591041456,204000000.0,118512288.57245702
