source,r_over_Rsun,production_density_norm,shell_fraction_per_Rsun,cumulative_fraction
pp,0.0,1.0,0.0,0.0
pp,0.002,0.9998765508303524,0.0015476541421461877,1.5476541421461878e-06
pp,0.004,0.9995062947520696,0.006188324172177482,9.283632456469856e-06
pp,0.006,0.9988895059442793,0.013915137144915279,2.938709377356262e-05
pp,0.008,0.9980266409962165,0.02471665228876217,6.801888320724008e-05
pp,0.01,0.9969183383439394,0.038576882177059665,0.0001313124176730619
pp,0.012,0.9955654174830928,0.05547532229970129,0.00022536462214982285
pp,0.014,0.9939688779590807,0.07538698896694095,0.00035622693341646507
pp,0.016,0.9921298981363871,0.09828246545821444,0.0005298963878416204
pp,0.018000000000000002,0.990049833749168,0.12412795630991315,0.0007523068096097483
pp,0.02,0.9877302162356105,0.1528853496174608,0.001029320115537122
pp,0.022,0.9851727508589219,0.18451228720880583,0.0013667177523633883
pp,0.024,0.9823793146181776,0.21896224252859234,0.0017701922821007868
pp,0.026000000000000002,0.9793519539526117,0.2561846060548731,0.0022453391306842528
pp,0.028,0.976092882243277,0.2961247780533137,0.002797648514792439
pp,0.03,0.9726044771163483,0.3387242684574654,0.0034324975613032175
pp,0.032,0.968889277552666,0.38392080364788594,0.004155142633408569
pp,0.034,0.9649499808084367,0.43164843988771967,0.004970711876944175
pp,0.036000000000000004,0.9607894391523232,0.4818376831578383,0.005884197999989734
pp,0.038,0.956410656424443,0.5344156151208371,0.006900451298268407
pp,0.04,0.9518167844230893,0.5893060249301098,0.008024172938319354
pp,0.042,0.9470111191252555,0.6464295465879222,0.009259908509837387
pp,0.044,0.9419970967473056,0.7057038015449127,0.010612041857970218
pp,0.046,0.9367782896523796,0.7670435462227687,0.012084789205737901
pp,0.048,0.931358402111352,0.8303608241320134,0.013682193576092684
pp,0.05,0.9257412659243828,0.8955651222479112,0.01540811952247261
pp,0.052000000000000005,0.9199308359102983,0.9625635312994472,0.01726624817601997
pp,0.054,0.9139311852712282,1.0312609096192225,0.019260072616938635
pp,0.056,0.9077465008400953,1.1015600501959169,0.021392893576753776
pp,0.058,0.9013810782187117,1.1733618505657104,0.023667815477515404
pp,0.06,0.8948393168143698,1.246565485174778,0.026087742813255887
pp,0.062,0.8881257147829419,1.3210685798416086,0.028655376878272278
pp,0.064,0.881244863886609,1.3967673879455367,0.03137321284605943
pp,0.066,0.8742014442744249,1.4735569679664506,0.034243537201971416
pp,0.068,0.867000219193996,1.5513313620001776,0.03726842553193805
pp,0.07,0.8596460296426133,1.6299837748745436,0.040449740668812774
pp,0.07200000000000001,0.8521437889662112,1.7094067534925332,0.04378913119717985
pp,0.074,0.8444984774145481,1.789492366031351,0.047288030316703714
pp,0.076,0.8367151366610092,1.8701323806294663,0.05094765506336454
pp,0.078,0.8287988642954259,1.9512184431979127,0.05476900588719192
pp,0.08,0.820754808298268,2.0326422539971905,0.058752866584387026
pp,0.082,0.8125881615045305,2.1142957426270512,0.06289980458101127
pp,0.084,0.8043041560655722,2.196071241083207,0.06721017156472153
pp,0.08600000000000001,0.795908057917088,2.2778616545426047,0.07168410446034734
pp,0.088,0.7874051612613076,2.3595606295472553,0.07632152674443718
pp,0.09,0.7788007830714049,2.4410627192657386,0.08112215009325018
pp,0.092,0.7701002576259842,2.5222635455213216,0.08608547635803723
pp,0.094,0.761308931081373,2.6030599572861806,0.09121079986084474
pp,0.096,0.7524321560893033,2.6833501853523516,0.09649721000348327
pp,0.098,0.743475286467401,2.7630339929018493,0.10194359418173747
pp,0.1,0.7344436719297311,2.842012821710729,0.10754864099635006
pp,0.10200000000000001,0.7253426528844532,2.9201899337347594,0.11331084375179555
pp,0.10400000000000001,0.7161775553054526,2.9974705478377555,0.11922850423336807
pp,0.106,0.7069536856845938,3.073761971437438,0.12529973675264322
pp,0.108,0.697676326071031,3.1489737268579416,0.1315224724509386
pp,0.11,0.6883507292037715,3.2230176721926287,0.13789446384998916
pp,0.112,0.678982113743459,3.2958081164958553,0.14441328963867764
pp,0.114,0.6695756596090863,3.3672619291374355,0.15107635968431093
pp,0.116,0.6601365034250989,3.437298643169019,0.1578809202566174
pp,0.11800000000000001,0.6506697340840815,3.505840552567124,0.16482405945235354
pp,0.12,0.6411803884299546,3.5728128032333406,0.17190271280815397
pp,0.122,0.6316734470663303,3.638143477648007,0.17911366908903534
pp,0.124,0.6221538302943973,3.701763673089506,0.18645357623977285
pp,0.126,0.612626394184416,3.7636075733472123,0.19391894748620958
pp,0.128,0.6030959267846215,3.823612513871918,0.2015061675734287
pp,0.13,0.5935671444710336,3.8817190403233113,0.20921149912762393
pp,0.132,0.5840446884413828,3.93787096048966,0.2170310891284369
pp,0.134,0.5745331213560624,3.992015389570325,0.22496097547849692
pp,0.136,0.5650369241287183,4.044102788826911,0.23299709365689417
pp,0.138,0.5555604928687954,4.094086997623887,0.24113528344334498
pp,0.14,0.546108135978051,4.141925258894158,0.24937129569986302
pp,0.14200000000000002,0.5366840714027625,4.187578238079501,0.2577007991968367
pp,0.14400000000000002,0.5272924240430484,4.231010035609733,0.26611938747052594
pp,0.146,0.5179372233204379,4.272188192998192,0.2746225856991337
pp,0.148,0.5086224009045266,4.311083692644242,0.2832058575847762
pp,0.15,0.49935178859927615,4.3476709514463545,0.2918646122288668
pp,0.152,0.49012911638922496,4.381927808341569,0.3005942109886547
pp,0.154,0.4809580106456037,4.41383550589896,0.3093899743028952
pp,0.156,0.47184199249207454,4.443378666105963,0.31824718847490013
pp,0.158,0.46278447632954245,4.470545260497187,0.3271611124015033
pp,0.16,0.45378876851922934,4.495326574785451,0.33612698423678594
pp,0.162,0.4448580662229411,4.517717168164401,0.3451400279797358
